id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|रासायनिक अभिक्रिया (Chemical Reaction) क्या है?|एक भौतिक परिवर्तन|वह प्रक्रिया जिसमें नए गुणधर्म वाले पदार्थ बनते हैं|केवल पदार्थों का मिश्रण|अवस्था में बदलाव|वह प्रक्रिया जिसमें नए गुणधर्म वाले पदार्थ बनते हैं|Chemistry_C1|30
2|किसी रासायनिक अभिक्रिया में भाग लेने वाले पदार्थ कहलाते हैं?|उत्पाद (Products)|अभिकारक (Reactants)|उत्प्रेरक (Catalysts)|विलयन (Solutions)|अभिकारक (Reactants)|Chemistry_C1|30
3|रासायनिक अभिक्रिया के परिणामस्वरूप बनने वाले पदार्थ कहलाते हैं?|अभिकारक (Reactants)|उत्पाद (Products)|विलायक (Solvents)|विलयन (Solutions)|उत्पाद (Products)|Chemistry_C1|30
4|रासायनिक समीकरण (Chemical Equation) को संतुलित करना किस नियम पर आधारित है?|ऊर्जा संरक्षण का नियम|द्रव्यमान संरक्षण का नियम (Law of Conservation of Mass)|संवेग संरक्षण का नियम|आवेश संरक्षण का नियम|द्रव्यमान संरक्षण का नियम (Law of Conservation of Mass)|Chemistry_C1|30
5|द्रव्यमान संरक्षण का नियम क्या कहता है?|द्रव्यमान को केवल बनाया जा सकता है|द्रव्यमान को केवल नष्ट किया जा सकता है|किसी भी रासायनिक अभिक्रिया में द्रव्यमान का न तो निर्माण होता है और न ही विनाश|द्रव्यमान केवल बढ़ता है|किसी भी रासायनिक अभिक्रिया में द्रव्यमान का न तो निर्माण होता है और न ही विनाश|Chemistry_C1|30
6|जब मैग्नीशियम रिबन (Magnesium Ribbon) को हवा में जलाया जाता है, तो कौन-सा पदार्थ बनता है?|मैग्नीशियम क्लोराइड|मैग्नीशियम ऑक्साइड (MgO)|मैग्नीशियम सल्फाइड|मैग्नीशियम नाइट्रेट|मैग्नीशियम ऑक्साइड (MgO)|Chemistry_C1|30
7|एक रासायनिक समीकरण में अभिकारक (Reactants) और उत्पाद (Products) के बीच किस चिन्ह का प्रयोग किया जाता है?|+|−|→ (तीर का निशान)|=|→ (तीर का निशान)|Chemistry_C1|30
8|अभिक्रिया: $2H_2 + O_2 \to 2H_2O$ किस प्रकार की अभिक्रिया है?|वियोजन अभिक्रिया|संयोजन अभिक्रिया (Combination Reaction)|विस्थापन अभिक्रिया|द्विविस्थापन अभिक्रिया|संयोजन अभिक्रिया (Combination Reaction)|Chemistry_C1|30
9|वह अभिक्रिया जिसमें दो या दो से अधिक अभिकारक मिलकर एकल उत्पाद बनाते हैं, कहलाती है?|वियोजन अभिक्रिया|संयोजन अभिक्रिया|विस्थापन अभिक्रिया|अपघटन अभिक्रिया|संयोजन अभिक्रिया|Chemistry_C1|30
10|वह अभिक्रिया जिसमें एकल अभिकारक टूटकर दो या दो से अधिक उत्पाद बनाता है, कहलाती है?|संयोजन अभिक्रिया|वियोजन अभिक्रिया (Decomposition Reaction)|विस्थापन अभिक्रिया|द्विविस्थापन अभिक्रिया|वियोजन अभिक्रिया (Decomposition Reaction)|Chemistry_C1|30
11|वियोजन अभिक्रिया (Decomposition Reaction) के लिए किस चीज की आवश्यकता होती है?|केवल पानी|ऊर्जा (ऊष्मा, प्रकाश या विद्युत)|केवल वायु|कोई आवश्यकता नहीं|ऊर्जा (ऊष्मा, प्रकाश या विद्युत)|Chemistry_C1|30
12|कैल्शियम कार्बोनेट ($CaCO_3$) को गर्म करने पर कैल्शियम ऑक्साइड ($CaO$) और कार्बन डाइऑक्साइड ($CO_2$) बनता है। यह किस प्रकार की अभिक्रिया है?|संयोजन अभिक्रिया|उष्मीय वियोजन (Thermal Decomposition)|विस्थापन अभिक्रिया|प्रकाश अपघटन|उष्मीय वियोजन (Thermal Decomposition)|Chemistry_C1|30
13|वह अभिक्रिया जिसमें एक अधिक क्रियाशील तत्व, कम क्रियाशील तत्व को उसके यौगिक से विस्थापित कर देता है, कहलाती है?|संयोजन अभिक्रिया|वियोजन अभिक्रिया|विस्थापन अभिक्रिया (Displacement Reaction)|द्विविस्थापन अभिक्रिया|विस्थापन अभिक्रिया (Displacement Reaction)|Chemistry_C1|30
14|अभिक्रिया: $Fe + CuSO_4 \to FeSO_4 + Cu$ किस प्रकार की अभिक्रिया है?|संयोजन अभिक्रिया|द्विविस्थापन अभिक्रिया|विस्थापन अभिक्रिया|वियोजन अभिक्रिया|विस्थापन अभिक्रिया|Chemistry_C1|30
15|विस्थापन अभिक्रिया में कौन-सा तत्व अधिक क्रियाशील होता है?|विस्थापित होने वाला तत्व|विस्थापित करने वाला तत्व|उत्पाद|अभिकारक|विस्थापित करने वाला तत्व|Chemistry_C1|30
16|वह अभिक्रिया जिसमें अभिकारकों के बीच आयनों (Ions) का आदान-प्रदान होता है, कहलाती है?|संयोजन अभिक्रिया|विस्थापन अभिक्रिया|द्विविस्थापन अभिक्रिया (Double Displacement Reaction)|वियोजन अभिक्रिया|द्विविस्थापन अभिक्रिया (Double Displacement Reaction)|Chemistry_C1|30
17|अभिक्रिया: $Na_2SO_4 + BaCl_2 \to BaSO_4 \downarrow + 2NaCl$ किस प्रकार की अभिक्रिया है?|विस्थापन अभिक्रिया|संयोजन अभिक्रिया|द्विविस्थापन अभिक्रिया|अपघटन अभिक्रिया|द्विविस्थापन अभिक्रिया|Chemistry_C1|30
18|वह अभिक्रिया जिसमें 'अवक्षेप' (Precipitate) बनता है, कहलाती है?|अपघटन अभिक्रिया|संयोजन अभिक्रिया|अवक्षेपण अभिक्रिया (Precipitation Reaction)|वियोजन अभिक्रिया|अवक्षेपण अभिक्रिया (Precipitation Reaction)|Chemistry_C1|30
