id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|प्राकृतिक आपदा (Natural Disaster) क्या है?|मानव निर्मित घटना|प्रकृति में होने वाली विनाशकारी घटना|केवल आर्थिक नुकसान|युद्ध और दंगे|प्रकृति में होने वाली विनाशकारी घटना|DisasterManagement|30
2|आपदा प्रबंधन (Disaster Management) का मुख्य उद्देश्य क्या है?|आपदाओं को रोकना|आपदाओं से होने वाले नुकसान को कम करना|केवल बचाव कार्य|केवल राहत सामग्री पहुँचाना|आपदाओं से होने वाले नुकसान को कम करना|DisasterManagement|30
3|निम्न में से कौन-सी प्राकृतिक आपदा है?|रेल दुर्घटना|आतंकवाद|भूकंप (Earthquake)|आग लगना|भूकंप (Earthquake)|DisasterManagement|30
4|निम्न में से कौन-सी मानव निर्मित आपदा है?|बाढ़|सूनामी|रासायनिक रिसाव (Chemical Leak)|चक्रवात|रासायनिक रिसाव (Chemical Leak)|DisasterManagement|30
5|आपदा प्रबंधन के कितने मुख्य चरण होते हैं?|दो|तीन|चार|पाँच|तीन|DisasterManagement|30
6|आपदा प्रबंधन का पहला चरण क्या है?|पुनर्वास|राहत|आपदा से पहले की तैयारी (Preparedness)|बचाव|आपदा से पहले की तैयारी (Preparedness)|DisasterManagement|30
7|आपदा के बाद तुरंत किया जाने वाला कार्य क्या कहलाता है?|पुनर्वास|तत्काल राहत और बचाव|विकास कार्य|नियोजन|तत्काल राहत और बचाव|DisasterManagement|30
8|भूकंप मापने के लिए किस यंत्र का उपयोग किया जाता है?|बैरोमीटर|सिस्मोग्राफ (Seismograph)|थर्मामीटर|स्पीडोमीटर|सिस्मोग्राफ (Seismograph)|DisasterManagement|30
9|भूकंप की तीव्रता मापने का पैमाना क्या है?|मिलीमीटर|सेल्सियस|रिक्टर पैमाना (Richter Scale)|एम्पीयर|रिक्टर पैमाना (Richter Scale)|DisasterManagement|30
10|भारत को कितने भूकंपीय क्षेत्रों (Seismic Zones) में बाँटा गया है?|तीन|चार|पाँच|छह|चार|DisasterManagement|30
11|सूनामी (Tsunami) का मुख्य कारण क्या है?|सूखे की स्थिति|समुद्र के भीतर भूकंप|बादलों का फटना|पवन ऊर्जा|समुद्र के भीतर भूकंप|DisasterManagement|30
12|सूनामी किस भाषा का शब्द है?|हिंदी|अंग्रेजी|जापानी|चीनी|जापानी|DisasterManagement|30
