id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'उपभोक्ता' (Consumer) कौन होता है?|वह जो सामान बेचता है|वह जो वस्तुओं और सेवाओं को खरीदता है और उनका उपयोग करता है|वह जो वस्तुओं का उत्पादन करता है|केवल व्यापारी|वह जो वस्तुओं और सेवाओं को खरीदता है और उनका उपयोग करता है|Economics_C5|30
2|'उपभोक्ता अधिकार' (Consumer Rights) क्यों आवश्यक हैं?|केवल उत्पादकों को लाभ पहुँचाने के लिए|उपभोक्ताओं को शोषण से बचाने और उनके हितों की रक्षा करने के लिए|केवल सरकार को नियंत्रित करने के लिए|वस्तुओं के मूल्य को बढ़ाने के लिए|उपभोक्ताओं को शोषण से बचाने और उनके हितों की रक्षा करने के लिए|Economics_C5|30
3|उपभोक्ताओं के शोषण का एक सामान्य तरीका क्या है?|वस्तुओं की सही कीमत|कम गुणवत्ता वाले उत्पाद बेचना या मापतौल में हेराफेरी करना|उपभोक्ताओं को सही जानकारी देना|न्यायपूर्ण व्यापार|कम गुणवत्ता वाले उत्पाद बेचना या मापतौल में हेराफेरी करना|Economics_C5|30
4|भारत में 'उपभोक्ता संरक्षण अधिनियम' (Consumer Protection Act) किस वर्ष लागू किया गया था?|1947|1986|2000|2019|1986|Economics_C5|30
5|उपभोक्ता संरक्षण अधिनियम 1986 को किस नाम से जाना जाता है?|कंज्यूमर लॉ|कोबरा (COBRA)|कोपरा (COPRA)|उपभोक्ता नियमन अधिनियम|कोपरा (COPRA)|Economics_C5|30
6|COPRA के तहत उपभोक्ताओं को कितने अधिकार दिए गए हैं?|चार|छह|आठ|दस|छह|Economics_C5|30
7|निम्न में से कौन-सा एक उपभोक्ता अधिकार है?|उत्पादन करने का अधिकार|सुरक्षा का अधिकार (Right to Safety)|अधिक लाभ कमाने का अधिकार|केवल व्यापार करने का अधिकार|सुरक्षा का अधिकार (Right to Safety)|Economics_C5|30
8|उपभोक्ता का सबसे महत्वपूर्ण अधिकार कौन-सा है?|उत्पादक बनने का अधिकार|सूचना का अधिकार (Right to be Informed)|केवल मौन रहने का अधिकार|सस्ते उत्पाद खरीदने का अधिकार|सूचना का अधिकार (Right to be Informed)|Economics_C5|30
9|'सुरक्षा का अधिकार' (Right to Safety) क्या सुनिश्चित करता है?|उपभोक्ता को उत्पादों के खतरनाक होने पर मुआवजा मिले|उपभोक्ता को उत्पाद के हानिकारक प्रभावों से सुरक्षा मिले|केवल वस्तुओं का बीमा कराना|केवल वारंटी देना|उपभोक्ता को उत्पाद के हानिकारक प्रभावों से सुरक्षा मिले|Economics_C5|30
10|उत्पाद के बारे में सही जानकारी (सामग्री, मूल्य, बैच नंबर, निर्माण की तारीख) प्राप्त करने का अधिकार क्या कहलाता है?|चुनने का अधिकार|सूचना का अधिकार|सुरक्षा का अधिकार|शिकायत निवारण का अधिकार|सूचना का अधिकार|Economics_C5|30
