id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|संसाधन की परिभाषा क्या है?|हर वह वस्तु जो प्रकृति में पाई जाती है।|हर वह वस्तु जो मानवीय आवश्यकताओं को पूरा करने में सक्षम हो।|वे वस्तुएँ जो बहुत महँगी होती हैं।|कोई भी निर्जीव वस्तु।|हर वह वस्तु जो मानवीय आवश्यकताओं को पूरा करने में सक्षम हो।|Geography_C1|30
2|उत्पत्ति के आधार पर संसाधनों का वर्गीकरण क्या है?|राष्ट्रीय और अंतर्राष्ट्रीय|नवीकरणीय और अनवीकरणीय|जैव और अजैव|निजी और सामुदायिक|जैव और अजैव|Geography_C1|30
3|निम्न में से कौन-सा संसाधन 'जैव' (Biotic) है?|चट्टानें|पशुधन|धातुएँ|जल|पशुधन|Geography_C1|30
4|समाप्यता के आधार पर संसाधन कितने प्रकार के होते हैं?|दो|तीन|चार|पाँच|दो|Geography_C1|30
5|निम्न में से कौन-सा संसाधन 'अनवीकरणीय' (Non-renewable) है?|पवन ऊर्जा|सौर ऊर्जा|जीवाश्म ईंधन (Fossil Fuels)|वन|जीवाश्म ईंधन (Fossil Fuels)|Geography_C1|30
6|वह संसाधन जिसका एक बार उपयोग करने के बाद उसे दोबारा प्राप्त नहीं किया जा सकता है, क्या कहलाता है?|नवीकरणीय संसाधन|समुदाय स्वामित्व वाला संसाधन|अनवीकरणीय संसाधन|राष्ट्रीय संसाधन|अनवीकरणीय संसाधन|Geography_C1|30
7|'सतत पोषणीय विकास' (Sustainable Development) का क्या अर्थ है?|विकास जो केवल वर्तमान की जरूरतों को पूरा करता है।|विकास जो पर्यावरण को नुकसान पहुंचाए बिना हो।|केवल औद्योगीकरण के लिए विकास।|विकास जो भविष्य की पीढ़ियों की जरूरतों की अनदेखी करता है।|विकास जो पर्यावरण को नुकसान पहुंचाए बिना हो।|Geography_C1|30
8|पहला अंतर्राष्ट्रीय पृथ्वी सम्मेलन कहाँ आयोजित हुआ था?|न्यूयॉर्क, अमेरिका|रियो डी जेनेरियो, ब्राजील|नई दिल्ली, भारत|पेरिस, फ्रांस|रियो डी जेनेरियो, ब्राजील|Geography_C1|30
9|एजेंडा 21 (Agenda 21) का मुख्य उद्देश्य क्या था?|विश्व शांति स्थापित करना|गरीबी और बीमारी से लड़ना|पर्यावरण क्षति, गरीबी और रोग से लड़ना|व्यापार को बढ़ावा देना|पर्यावरण क्षति, गरीबी और रोग से लड़ना|Geography_C1|30
10|'संसाधन नियोजन' क्यों आवश्यक है?|संसाधनों के अत्यधिक दोहन से बचने के लिए।|संसाधनों को खरीदने के लिए।|केवल अमीरों के लिए संसाधन आरक्षित करने के लिए।|सिर्फ अंतर्राष्ट्रीय व्यापार के लिए।|संसाधनों के अत्यधिक दोहन से बचने के लिए।|Geography_C1|30
11|12 नॉटिकल मील (लगभग 22.2 किमी) तक के समुद्री क्षेत्र में पाए जाने वाले संसाधन किस प्रकार के होते हैं?|अंतर्राष्ट्रीय संसाधन|निजी संसाधन|राष्ट्रीय संसाधन|सामुदायिक संसाधन|राष्ट्रीय संसाधन|Geography_C1|30
12|'अपवर्जक आर्थिक क्षेत्र' (Exclusive Economic Zone) कितने किलोमीटर तक फैला होता है?|100 किमी|200 किमी|300 किमी|400 किमी|200 किमी|Geography_C1|30
13|विकास के स्तर के आधार पर संसाधनों को कितने वर्गों में बाँटा गया है?|संभाव्य, विकसित, भंडार और संचित कोष|जैव और अजैव|व्यक्तिगत, सामुदायिक और राष्ट्रीय|सीमित और असीमित|संभाव्य, विकसित, भंडार और संचित कोष|Geography_C1|30
14|वे संसाधन जो किसी प्रदेश में विद्यमान हैं, परन्तु उनका उपयोग नहीं किया गया है, कहलाते हैं?|भंडार संसाधन|विकसित संसाधन|संभाव्य संसाधन|संचित कोष संसाधन|संभाव्य संसाधन|Geography_C1|30
15|सौर ऊर्जा किस प्रकार के संसाधन का उदाहरण है?|अनवीकरणीय|अजैव|राष्ट्रीय|पुनः पूर्ति योग्य (नवीकरणीय)|पुनः पूर्ति योग्य (नवीकरणीय)|Geography_C1|30
16|उत्तराखंड, हिमाचल प्रदेश और जम्मू-कश्मीर में वन अपरदन का मुख्य कारण क्या है?|जंगल की आग|चरागाह की कमी|पशुओं द्वारा अत्यधिक चराई (Overgrazing)|खनन|पशुओं द्वारा अत्यधिक चराई (Overgrazing)|Geography_C1|30
17|भारत में सबसे अधिक भू-भाग पर कौन-सी मिट्टी (मृदा) पाई जाती है?|काली मृदा|जलोढ़ मृदा|लाल और पीली मृदा|लेटराइट मृदा|जलोढ़ मृदा|Geography_C1|30
18|जलोढ़ मृदा का निर्माण किसके निक्षेपण से होता है?|ज्वालामुखी राख|नदियों द्वारा लाई गई गाद|पवन द्वारा लाई गई रेत|समुद्री लहरें|नदियों द्वारा लाई गई गाद|Geography_C1|30
19|पुरानी जलोढ़ मृदा को किस नाम से जाना जाता है?|खादर|बांगर|रेगर|लेटराइट|बांगर|Geography_C1|30
20|कपास की खेती के लिए सबसे उपयुक्त मृदा कौन-सी है?|लाल मृदा|काली मृदा (रेगर मृदा)|जलोढ़ मृदा|लेटराइट मृदा|काली मृदा (रेगर मृदा)|Geography_C1|30
21|रेगर मृदा का दूसरा नाम क्या है?|जलोढ़ मृदा|काली मृदा|लाल मृदा|मरुस्थलीय मृदा|काली मृदा|Geography_C1|30
22|लेटराइट मृदा का निर्माण किस प्रक्रिया से होता है?|निक्षेपण|निक्षालन (Leaching)|ज्वालामुखी क्रिया|पवन अपरदन|निक्षालन (Leaching)|Geography_C1|30
23|मृदा की ऊपरी परत का कटाव या बहाव क्या कहलाता है?|भूमि अपरदन|मृदा अपरदन|भू-स्खलन|मिट्टी का जमाव|मृदा अपरदन|Geography_C1|30
24|'चट्टानी मिट्टी' और 'कम वर्षा वाले क्षेत्रों' में किस प्रकार की मिट्टी पाई जाती है?|जलोढ़ मृदा|वन मृदा|मरुस्थलीय मृदा|लेटराइट मृदा|मरुस्थलीय मृदा|Geography_C1|30
25|मृदा अपरदन को नियंत्रित करने के लिए कौन-सी विधि सबसे अधिक प्रभावी है?|अत्यधिक सिंचाई|वनों की कटाई|सीढ़ीदार खेती (Contour Ploughing)|रासायनिक उर्वरकों का उपयोग|सीढ़ीदार खेती (Contour Ploughing)|Geography_C1|30
26|'शैलियों की खेती' (Stripe Cropping) का क्या उद्देश्य है?|फसल की उपज बढ़ाना|मृदा अपरदन को कम करना|खेतों को सुंदर बनाना|कीटों को नियंत्रित करना|मृदा अपरदन को कम करना|Geography_C1|30
27|किस राज्य में 'सीढ़ीदार खेती' (Terrace Farming) की जाती है?|पंजाब|उत्तर प्रदेश|हरियाणा|उत्तराखंड|उत्तराखंड|Geography_C1|30
28|'सामुदायिक स्वामित्व' वाले संसाधन का उदाहरण क्या है?|किसी व्यक्ति का निजी घर|चरागाह और कब्रिस्तान|व्यक्तिगत कार|किसी की अपनी कृषि भूमि|चरागाह और कब्रिस्तान|Geography_C1|30
29|भारत में कुल भौगोलिक क्षेत्रफल का लगभग कितने प्रतिशत भाग मैदान है?|27%|43%|30%|55%|43%|Geography_C1|30
30|भारत में लगभग कितने प्रतिशत भू-भाग पर पर्वत स्थित हैं?|15%|25%|30%|43%|30%|Geography_C1|30
