id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'झांसी की रानी' कविता की रचयिता कौन हैं?|महादेवी वर्मा|सुभद्रा कुमारी चौहान|सरोजिनी नायडू|अमृता प्रीतम|सुभद्रा कुमारी चौहान|Non-Hindi_C19|30
2|रानी लक्ष्मीबाई के बचपन का नाम क्या था?|मणिकर्णिका (मनु)|छबिली|पद्मा|कमला|छबिली|Non-Hindi_C19|30
3|कविता के अनुसार, लक्ष्मीबाई किसकी मुँहबोली बहिन थीं?|तात्या टोपे की|शिवाजी की|पेशवा बाजीराव की|नाना साहब की|नाना साहब की|Non-Hindi_C19|30
4|लक्ष्मीबाई को बचपन में कौन-से खेल पसंद थे?|गुड़ियों का खेल|घर-घर खेलना|व्यूह रचना, शिकार, तलवार चलाना|लूडो और शतरंज|व्यूह रचना, शिकार, तलवार चलाना|Non-Hindi_C19|30
5|'बुंदेले हरबोलों के मुँह हमने सुनी कहानी थी' - इस पंक्ति में 'हरबोले' कौन हैं?|राजा|गायक जाति|सैनिक|मंत्री|गायक जाति|Non-Hindi_C19|30
6|लक्ष्मीबाई का विवाह कहाँ के राजा से हुआ था?|ग्वालियर|इंदौर|झांसी|नागपुर|झांसी|Non-Hindi_C19|30
7|झांसी के राजा का नाम क्या था?|गंगाधर राव|बाजीराव|माधव राव|शिवाजी राव|गंगाधर राव|Non-Hindi_C19|30
8|किस अंग्रेज गवर्नर ने झांसी को लावारिस घोषित कर हड़प लिया?|लॉर्ड कैनिंग|लॉर्ड डलहौजी|लॉर्ड कर्जन|लॉर्ड विलियम बेंटिंक|लॉर्ड डलहौजी|Non-Hindi_C19|30
9|'हुई वीरता की वैभव के साथ सगाई झांसी में' - यहाँ 'वीरता' किसे कहा गया है?|गंगाधर राव को|अंग्रेजों को|रानी लक्ष्मीबाई को|नाना साहब को|रानी लक्ष्मीबाई को|Non-Hindi_C19|30
10|रानी के विधवा होने पर डलहौजी मन में क्यों हर्षाया?|उसे रानी से सहानुभूति थी|उसे झांसी हड़पने का अवसर मिल गया|उसे रानी का पति पसंद नहीं था|उसे भारतीय राजाओं से प्रेम था|उसे झांसी हड़पने का अवसर मिल गया|Non-Hindi_C19|30
11|1857 के विद्रोह की चिंगारी कहाँ से भड़की थी?|दिल्ली से|झांसी से|मेरठ से|कानपुर से|मेरठ से|Non-Hindi_C19|30
12|कविता की प्रसिद्ध पंक्ति 'खूब लड़ी मर्दानी वह तो...' में मर्दानी का क्या अर्थ है?|पुरुषों जैसी|पुरुषों से लड़ने वाली|पुरुषों की तरह वीर|डरपोक|पुरुषों की तरह वीर|Non-Hindi_C19|30
13|रानी ने अपनी राजधानी किसे बनाया था?|ग्वालियर|कालपी|झांसी|इंदौर|कालपी|Non-Hindi_C19|30
14|रानी लक्ष्मीबाई के प्रिय घोड़े का नाम क्या था?|चेतक|बादल|पवन|उपरोक्त सभी|उपरोक्त सभी|Non-Hindi_C19|30
15|रानी के साथ युद्ध में उनके कौन-से मित्र शामिल थे?|नाना साहब और तात्या टोपे|शिवाजी और संभाजी|अकबर और बीरबल|मंगल पांडे और कुंवर सिंह|नाना साहब और तात्या टोपे|Non-Hindi_C19|30
16|किस अंग्रेज जनरल से रानी का घोर युद्ध हुआ?|जनरल स्मिथ|जनरल ह्यूरोज|जनरल डायर|जनरल नील|जनरल ह्यूरोज|Non-Hindi_C19|30
17|रानी लक्ष्मीबाई की सहेलियाँ कौन थीं?|सिपाही|दासियाँ|काना और मंदरा|गीता और सीता|काना और मंदरा|Non-Hindi_C19|30
18|रानी की मृत्यु कहाँ हुई थी?|झांसी के किले में|कालपी में|ग्वालियर के पास एक नाले पर|दिल्ली में|ग्वालियर के पास एक नाले पर|Non-Hindi_C19|30
19|'यह अंत की लीला थी' - कवयित्री ने ऐसा किस घटना के लिए कहा है?|रानी के विवाह के लिए|रानी के युद्ध कौशल के लिए|रानी के वीरगति पाने के लिए|झांसी पर कब्जे के लिए|रानी के वीरगति पाने के लिए|Non-Hindi_C19|30
20|रानी की आयु वीरगति के समय कितनी थी?|18 वर्ष|23 वर्ष|30 वर्ष|40 वर्ष|23 वर्ष|Non-Hindi_C19|30
21|'सिंहासन हिल उठे, राजवंशों ने भृकुटि तानी थी' - इसका क्या कारण था?|राजा की मृत्यु|अंग्रेजों की हड़प नीति|रानी का विवाह|विद्रोह की शुरुआत|अंग्रेजों की हड़प नीति|Non-Hindi_C19|30
