id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'लोकतंत्र की चुनौती' (Challenge to Democracy) का क्या अर्थ है?|लोकतंत्र का कमजोर होना|वह समस्या जो लोकतंत्र के सिद्धांतों को खतरे में डालती है|केवल चुनाव कराना|आर्थिक विकास|वह समस्या जो लोकतंत्र के सिद्धांतों को खतरे में डालती है|PoliticalScience_C8|30
2|लोकतंत्र के सामने सबसे पहली और मौलिक चुनौती कौन-सी है?|विस्तार की चुनौती|बुनियादी आधार बनाने की चुनौती (Foundational Challenge)|गहराई लाने की चुनौती|केवल राजनीतिक अस्थिरता|बुनियादी आधार बनाने की चुनौती (Foundational Challenge)|PoliticalScience_C8|30
3|लोकतंत्र के लिए 'विस्तार की चुनौती' (Challenge of Expansion) का क्या अर्थ है?|लोकतंत्र को केवल कुछ क्षेत्रों तक सीमित करना|लोकतंत्र के सिद्धांतों को समाज के सभी क्षेत्रों और सभी भौगोलिक क्षेत्रों में लागू करना|केवल चुनाव आयोग का विस्तार|सैन्य शासन लागू करना|लोकतंत्र के सिद्धांतों को समाज के सभी क्षेत्रों और सभी भौगोलिक क्षेत्रों में लागू करना|PoliticalScience_C8|30
4|लोकतंत्र में 'गहराई लाने की चुनौती' (Challenge of Deepening) का क्या अर्थ है?|सिर्फ ऊपरी तौर पर लोकतंत्र अपनाना|संस्थाओं और फैसलों को मजबूत करना ताकि जनता की भागीदारी बढ़े|तानाशाही शासन लागू करना|आर्थिक विकास को धीमा करना|संस्थाओं और फैसलों को मजबूत करना ताकि जनता की भागीदारी बढ़े|PoliticalScience_C8|30
5|किस देश में 'बुनियादी आधार बनाने की चुनौती' का सामना करना पड़ रहा है?|संयुक्त राज्य अमेरिका|भारत|पाकिस्तान और नेपाल|जर्मनी|पाकिस्तान और नेपाल|PoliticalScience_C8|30
6|किस चुनौती के कारण सत्ता के विकेंद्रीकरण (Decentralization) की आवश्यकता होती है?|बुनियादी आधार बनाने की चुनौती|विस्तार की चुनौती|गहराई लाने की चुनौती|जातिगत संघर्ष|विस्तार की चुनौती|PoliticalScience_C8|30
7|लोकतंत्र के लिए 'वंशवाद' (Dynastic Succession) किस प्रकार की चुनौती है?|बुनियादी|विस्तार|गहराई|कोई चुनौती नहीं|गहराई|PoliticalScience_C8|30
8|राजनीतिक दलों में वंशवाद का मुख्य कारण क्या है?|पार्टी के अंदर आंतरिक लोकतंत्र का अभाव|केवल योग्यता|शिक्षा का उच्च स्तर|आर्थिक समानता|पार्टी के अंदर आंतरिक लोकतंत्र का अभाव|PoliticalScience_C8|30
9|लोकतंत्र में 'पैसा और बाहुबल' (Money and Muscle Power) का उपयोग किस प्रकार की चुनौती है?|बुनियादी|विस्तार|गहराई|कोई नहीं|गहराई|PoliticalScience_C8|30
10|'चुनाव सुधार' (Electoral Reforms) मुख्य रूप से लोकतंत्र की किस चुनौती को संबोधित करते हैं?|बुनियादी|विस्तार|गहराई|अंतर्राष्ट्रीय|गहराई|PoliticalScience_C8|30
