id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|रासायनिक अभिक्रियाएँ के दौरान किसी पदार्थ में ऑक्सीजन का योग क्या कहलाता है?|अपचयन (Reduction)|उपचयन (Oxidation)|विस्थापन (Displacement)|अपघटन (Decomposition)|उपचयन (Oxidation)|Chemistry_C1|30
2|जब मैग्नीशियम रिबन को हवा में जलाया जाता है, तो किस रंग का चूर्ण बनता है?|पीला|सफेद|काला|नीला|सफेद|Chemistry_C1|30
3|उस अभिक्रिया का नाम क्या है जिसमें दो या दो से अधिक अभिकारक मिलकर एक एकल उत्पाद बनाते हैं?|संयोजन अभिक्रिया (Combination Reaction)|वियोजन अभिक्रिया (Decomposition Reaction)|विस्थापन अभिक्रिया (Displacement Reaction)|द्वि-विस्थापन अभिक्रिया (Double Displacement Reaction)|संयोजन अभिक्रिया (Combination Reaction)|Chemistry_C1|30
4|कैल्शियम ऑक्साइड (CaO) पर जल (H$_2$O) की अभिक्रिया से क्या बनता है?|कैल्शियम कार्बोनेट ($CaCO_3$)|कैल्शियम हाइड्रॉक्साइड ($Ca(OH)_2$)|कार्बन डाइऑक्साइड ($CO_2$)|कैल्शियम क्लोराइड ($CaCl_2$)|कैल्शियम हाइड्रॉक्साइड ($Ca(OH)_2$)|Chemistry_C1|30
5|चूने के पानी (Calcium Hydroxide) में $CO_2$ गैस प्रवाहित करने पर विलयन का रंग कैसा हो जाता है?|नीला|दूधिया (Milky)|हरा|पीला|दूधिया (Milky)|Chemistry_C1|30
6|उस अभिक्रिया को क्या कहते हैं जिसमें ऊष्मा (Heat) उत्सर्जित होती है?|ऊष्माशोषी अभिक्रिया (Endothermic Reaction)|ऊष्माक्षेपी अभिक्रिया (Exothermic Reaction)|संयोजन अभिक्रिया (Combination Reaction)|वियोजन अभिक्रिया (Decomposition Reaction)|ऊष्माक्षेपी अभिक्रिया (Exothermic Reaction)|Chemistry_C1|30
7|श्वसन (Respiration) किस प्रकार की रासायनिक अभिक्रिया है?|ऊष्माशोषी|ऊष्माक्षेपी|विस्थापन|अपघटन|ऊष्माक्षेपी|Chemistry_C1|30
8|अभिकारकों को दर्शाने के लिए समीकरण में किस ओर लिखा जाता है?|दाईं ओर (Right Side)|बाईं ओर (Left Side)|ऊपर की ओर|नीचे की ओर|बाईं ओर (Left Side)|Chemistry_C1|30
9|जब फेरस सल्फेट ($FeSO_4$) को गर्म किया जाता है, तो किस गैस का गंध आता है?|ऑक्सीजन ($O_2$)|सल्फर डाइऑक्साइड ($SO_2$)|हाइड्रोजन ($H_2$)|नाइट्रोजन ($N_2$)|सल्फर डाइऑक्साइड ($SO_2$)|Chemistry_C1|30
10|वियोजन अभिक्रिया के लिए इनमें से किस चीज़ की आवश्यकता होती है?|पानी|प्रकाश या ऊष्मा या विद्युत|अमोनिया|ऑक्सीजन|प्रकाश या ऊष्मा या विद्युत|Chemistry_C1|30
11|सूर्य के प्रकाश में सिल्वर क्लोराइड ($AgCl$) का रंग कैसा हो जाता है?|सफेद|भूरा|ग्रे (Grey)|पीला|ग्रे (Grey)|Chemistry_C1|30
12|सिल्वर क्लोराइड को प्रकाश में रखने पर होने वाली अभिक्रिया का उपयोग किसमें किया जाता है?|रंगीन फोटोग्राफी|श्वेत-श्याम फोटोग्राफी|प्रिंटिंग|वेल्डिंग|श्वेत-श्याम फोटोग्राफी|Chemistry_C1|30
13|वह अभिक्रिया जिसमें एक अधिक क्रियाशील तत्व एक कम क्रियाशील तत्व को उसके यौगिक से हटा देता है, क्या कहलाती है?|संयोजन अभिक्रिया|द्वि-विस्थापन अभिक्रिया|विस्थापन अभिक्रिया|वियोजन अभिक्रिया|विस्थापन अभिक्रिया|Chemistry_C1|30
14|लोहे की कील को कॉपर सल्फेट ($CuSO_4$) के विलयन में डुबाने पर विलयन का रंग नीले से कैसा हो जाता है?|हरा|पीला|लाल|सफेद|हरा|Chemistry_C1|30
15|द्वि-विस्थापन अभिक्रिया में अभिकारकों के बीच किसका आदान-प्रदान होता है?|परमाणुओं का|आयनों का|इलेक्ट्रॉनों का|अणुओं का|आयनों का|Chemistry_C1|30
16|सोडियम सल्फेट ($Na_2SO_4$) और बेरियम क्लोराइड ($BaCl_2$) की अभिक्रिया से बनने वाला सफेद अवक्षेप (Precipitate) क्या है?|सोडियम क्लोराइड ($NaCl$)|बेरियम सल्फेट ($BaSO_4$)|सोडियम ऑक्साइड ($Na_2O$)|बेरियम ऑक्साइड ($BaO$)|बेरियम सल्फेट ($BaSO_4$)|Chemistry_C1|30
17|अवक्षेपण अभिक्रिया (Precipitation Reaction) किस प्रकार की अभिक्रिया का उदाहरण है?|संयोजन|वियोजन|विस्थापन|द्वि-विस्थापन|द्वि-विस्थापन|Chemistry_C1|30
18|किसी पदार्थ में हाइड्रोजन का ह्रास (Loss) क्या कहलाता है?|उपचयन (Oxidation)|अपचयन (Reduction)|संयोजन|वियोजन|उपचयन (Oxidation)|Chemistry_C1|30
19|रेडॉक्स अभिक्रिया (Redox Reaction) में क्या होता है?|केवल उपचयन|केवल अपचयन|उपचयन और अपचयन दोनों|कोई अभिक्रिया नहीं|उपचयन और अपचयन दोनों|Chemistry_C1|30
20|अभिक्रिया $CuO + H_2 \\rightarrow Cu + H_2O$ में किस पदार्थ का अपचयन हो रहा है?|$CuO$|$H_2$|$Cu$|$H_2O$|$CuO$|Chemistry_C1|30
21|अभिक्रिया $CuO + H_2 \\rightarrow Cu + H_2O$ में किस पदार्थ का उपचयन हो रहा है?|$CuO$|$H_2$|$Cu$|$H_2O$|$H_2$|Chemistry_C1|30
22|जब कोई धातु अपने आस-पास अम्ल, नमी आदि के संपर्क में आती है, तो यह क्या कहलाती है?|जंग लगना (Rusting)|संक्षारण (Corrosion)|विकृतगंधिता (Rancidity)|अपघटन|संक्षारण (Corrosion)|Chemistry_C1|30
23|चांदी (Silver) पर बनने वाली काली परत किसका उदाहरण है?|जंग लगना|संक्षारण|वियोजन|संयोजन|संक्षारण|Chemistry_C1|30
24|वसायुक्त या तैलीय खाद्य सामग्री को लंबे समय तक रखने पर उसके स्वाद और गंध का बदल जाना क्या कहलाता है?|संक्षारण|विकृतगंधिता (Rancidity)|अपघटन|जंग लगना|विकृतगंधिता (Rancidity)|Chemistry_C1|30
25|विकृतगंधिता से बचने के लिए चिप्स के पैकेट में कौन-सी गैस भरी जाती है?|ऑक्सीजन|कार्बन डाइऑक्साइड|नाइट्रोजन|हाइड्रोजन|नाइट्रोजन|Chemistry_C1|30
26|रासायनिक समीकरण को किस सिद्धांत पर संतुलित किया जाता है?|ऊर्जा संरक्षण का सिद्धांत|द्रव्यमान संरक्षण का सिद्धांत|वेग का सिद्धांत|दाब का सिद्धांत|द्रव्यमान संरक्षण का सिद्धांत|Chemistry_C1|30
27|एक संतुलित रासायनिक समीकरण में अभिकारकों और उत्पादों में किसकी संख्या समान होती है?|अणुओं की संख्या|परमाणुओं की संख्या|आयनों की संख्या|मोलों की संख्या|परमाणुओं की संख्या|Chemistry_C1|30
28|जिस रासायनिक अभिक्रिया में किसी यौगिक के टूटने से दो या दो से अधिक सरल उत्पाद बनते हैं, वह क्या है?|संयोजन अभिक्रिया|वियोजन अभिक्रिया|विस्थापन अभिक्रिया|रेडॉक्स अभिक्रिया|वियोजन अभिक्रिया|Chemistry_C1|30
29|बुझे हुए चूने का रासायनिक सूत्र क्या है?|$CaO$|$CaCO_3$|$Ca(OH)_2$|$CaCl_2$|$Ca(OH)_2$|Chemistry_C1|30
30|कैल्शियम कार्बोनेट ($CaCO_3$) को गर्म करने पर क्या प्राप्त होता है?|$CaO + CO_2$|$Ca(OH)_2 + H_2O$|$CaCl_2 + O_2$|$CaSO_4 + H_2O$|$CaO + CO_2$|Chemistry_C1|30
31|पानी से विद्युत धारा गुजारने पर हाइड्रोजन और ऑक्सीजन का किस अनुपात में वियोजन होता है?|1:1|2:1|1:2|3:1|2:1|Chemistry_C1|30
32|इलेक्ट्रोलाइटिक वियोजन (Electrolytic Decomposition) में किसका उपयोग किया जाता है?|ऊष्मा|प्रकाश|विद्युत धारा|दाब|विद्युत धारा|Chemistry_C1|30
33|मैग्नीशियम रिबन को जलाने से पहले रेगमाल से साफ क्यों किया जाता है?|उस पर लगे पानी को हटाने के लिए|मैग्नीशियम ऑक्साइड की परत को हटाने के लिए|उसे ठंडा करने के लिए|उसे गीला करने के लिए|मैग्नीशियम ऑक्साइड की परत को हटाने के लिए|Chemistry_C1|30
34|वह अभिक्रिया, जिसमें बनने वाला उत्पाद पानी में अघुलनशील (Insoluble) होता है, क्या कहलाती है?|संयोजन अभिक्रिया|वियोजन अभिक्रिया|अवक्षेपण अभिक्रिया|उपचयन अभिक्रिया|अवक्षेपण अभिक्रिया|Chemistry_C1|30
35|जंग (Rust) का रासायनिक सूत्र क्या है?|$Fe_2O_3$|$Fe(OH)_3$|$FeO$|$Fe_2O_3 \\cdot xH_2O$|$Fe_2O_3 \\cdot xH_2O$|Chemistry_C1|30
36|जब कॉपर पाउडर को गर्म किया जाता है, तो सतह पर कौन सा पदार्थ बनता है?|कॉपर क्लोराइड|कॉपर सल्फेट|कॉपर ऑक्साइड|कॉपर नाइट्रेट|कॉपर ऑक्साइड|Chemistry_C1|30
37|उस अभिक्रिया को क्या कहते हैं जिसमें दो भिन्न परमाणु या परमाणुओं के समूह आपस में अदला-बदली करते हैं?|विस्थापन अभिक्रिया|द्वि-विस्थापन अभिक्रिया|संयोजन अभिक्रिया|वियोजन अभिक्रिया|द्वि-विस्थापन अभिक्रिया|Chemistry_C1|30
38|रासायनिक अभिक्रिया में, तीर का निशान किस ओर इंगित करता है?|अभिकारकों की ओर|उत्पादों की ओर|उत्प्रेरक की ओर|दाब की ओर|उत्पादों की ओर|Chemistry_C1|30
39|रासायनिक समीकरण में G, L, S और AQ क्रमशः क्या दर्शाते हैं?|तापमान, प्रकाश, ध्वनि, ऊर्जा|गैस, द्रव, ठोस, जलीय विलयन|द्रव्यमान, लंबाई, समय, क्षेत्रफल|चाल, वेग, त्वरण, बल|गैस, द्रव, ठोस, जलीय विलयन|Chemistry_C1|30
40|अभिक्रिया में उत्प्रेरक (Catalyst) का क्या कार्य होता है?|उत्पाद का निर्माण करना|अभिक्रिया को संतुलित करना|अभिक्रिया के वेग को बदलना|अभिक्रिया को रोकना|अभिक्रिया के वेग को बदलना|Chemistry_C1|30
41|अपचायक (Reducing Agent) क्या होता है?|जो उपचयित (Oxidized) होता है|जो अपचयित (Reduced) होता है|जो हाइड्रोजन ग्रहण करता है|जो ऑक्सीजन प्रदान करता है|जो उपचयित (Oxidized) होता है|Chemistry_C1|30
42|उपचायक (Oxidising Agent) क्या होता है?|जो इलेक्ट्रॉन प्रदान करता है|जो इलेक्ट्रॉन ग्रहण करता है|जो अपचयित (Reduced) होता है|जो उपचयित (Oxidized) होता है|जो अपचयित (Reduced) होता है|Chemistry_C1|30
43|वह अभिक्रिया जिसके पूर्ण होने पर ऊर्जा अवशोषित होती है, क्या कहलाती है?|ऊष्माक्षेपी अभिक्रिया|ऊष्माशोषी अभिक्रिया|संयोजन अभिक्रिया|अपघटन अभिक्रिया|ऊष्माशोषी अभिक्रिया|Chemistry_C1|30
44|पोटेशियम आयोडाइड (KI) के विलयन में लेड नाइट्रेट ($Pb(NO_3)_2$) का विलयन मिलाने पर किस रंग का अवक्षेप प्राप्त होता है?|सफेद|पीला|नीला|लाल|पीला|Chemistry_C1|30
45|लोहे को जंग से बचाने के लिए किस विधि का उपयोग किया जाता है?|उपचयन|अनारोपण|जस्ता-लेपन (Galvanisation)|वियोजन|जस्ता-लेपन (Galvanisation)|Chemistry_C1|30
46|अभिक्रिया $2H_2 + O_2 \\rightarrow 2H_2O$ किसका उदाहरण है?|वियोजन|विस्थापन|संयोजन|अपघटन|संयोजन|Chemistry_C1|30
47|जब कैल्शियम कार्बोनेट ($CaCO_3$) ऊष्मा के प्रभाव से $CaO$ और $CO_2$ में टूटता है, तो यह किस प्रकार की वियोजन अभिक्रिया है?|विद्युत वियोजन|ऊष्मीय वियोजन|प्रकाशीय वियोजन|जल वियोजन|ऊष्मीय वियोजन|Chemistry_C1|30
48|निम्न में से कौन-सी गैस ऑक्सीजन की उपस्थिति में जलती है?|नाइट्रोजन|कार्बन डाइऑक्साइड|हाइड्रोजन|सल्फर डाइऑक्साइड|हाइड्रोजन|Chemistry_C1|30
49|उपचयन के प्रभाव को कम करने के लिए किस पदार्थ का उपयोग किया जाता है?|ऑक्सीकारक (Oxidiser)|अपचायक (Reducer)|प्रतिऑक्सीकारक (Antioxidant)|उत्प्रेरक (Catalyst)|प्रतिऑक्सीकारक (Antioxidant)|Chemistry_C1|30
50|बिना बुझा हुआ चूना (Quicklime) का रासायनिक सूत्र क्या है?|$CaO$|$Ca(OH)_2$|$CaCO_3$|$HCl$|$CaO$|Chemistry_C1|30
