id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'मुद्रा' (Money) को विनिमय का माध्यम (Medium of Exchange) क्यों कहा जाता है?|इसका उपयोग केवल ऋण लेने के लिए किया जाता है|इसका उपयोग वस्तुओं और सेवाओं के लेन-देन में किया जाता है|यह केवल बैंकों द्वारा जारी की जाती है|यह केवल सोने के रूप में है|इसका उपयोग वस्तुओं और सेवाओं के लेन-देन में किया जाता है|Economics_C3|30
2|वस्तु विनिमय प्रणाली (Barter System) में कौन-सी समस्या आती थी?|दोहरी आवश्यकता का मेल (Double Coincidence of Wants)|अधिक धन की आवश्यकता|केवल कृषि वस्तुओं का विनिमय|विनिमय का माध्यम उपलब्ध होना|दोहरी आवश्यकता का मेल (Double Coincidence of Wants)|Economics_C3|30
3|'दोहरी आवश्यकता का मेल' (Double Coincidence of Wants) क्या है?|जब एक व्यक्ति वही चाहता है जो दूसरा बेचना चाहता है|जब दो लोग एक ही वस्तु खरीदना चाहते हैं|जब एक व्यक्ति खरीदना चाहता है और दूसरा बेचना नहीं चाहता|जब विनिमय की आवश्यकता नहीं होती|जब एक व्यक्ति वही चाहता है जो दूसरा बेचना चाहता है|Economics_C3|30
4|आधुनिक मुद्रा का कौन-सा रूप 'विनिमय के माध्यम' के रूप में सबसे अधिक स्वीकृत है?|सोने के सिक्के|कागजी मुद्रा और सिक्के|केवल चेक|वस्तु विनिमय|कागजी मुद्रा और सिक्के|Economics_C3|30
5|भारत में मुद्रा (Currency) कौन जारी करता है?|स्टेट बैंक ऑफ इंडिया (SBI)|भारत सरकार|भारतीय रिजर्व बैंक (RBI)|वित्त मंत्रालय|भारतीय रिजर्व बैंक (RBI)|Economics_C3|30
6|भारत में 'कागजी मुद्रा' (Paper Currency) को कौन-सी संस्था अधिकृत करती है?|राज्य सरकारें|रिजर्व बैंक ऑफ इंडिया (RBI)|वाणिज्यिक बैंक|स्थानीय निकाय|रिजर्व बैंक ऑफ इंडिया (RBI)|Economics_C3|30
7|बैंक में जमा राशि का कौन-सा भाग 'मांग जमा' (Demand Deposits) कहलाता है?|जिसे किसी भी समय निकाला जा सकता है|जिसे केवल निश्चित अवधि के बाद निकाला जा सकता है|जो केवल ऋण के रूप में दी जाती है|जो केवल बैंक के पास रहता है|जिसे किसी भी समय निकाला जा सकता है|Economics_C3|30
8|'चेक' (Cheque) क्या है?|एक कागजी मुद्रा|एक दस्तावेज जो बैंक को किसी व्यक्ति के खाते से पैसे देने का निर्देश देता है|केवल सरकार द्वारा जारी किया गया ऋण|एक प्रकार का ऋण|एक दस्तावेज जो बैंक को किसी व्यक्ति के खाते से पैसे देने का निर्देश देता है|Economics_C3|30
9|बैंक किस प्रकार अपनी आय कमाते हैं?|केवल सरकार से पैसा लेकर|जमा राशि पर दिए जाने वाले ब्याज से अधिक ऋण पर ब्याज लेकर|केवल लोगों से जमा लेकर|केवल ऋण देकर|जमा राशि पर दिए जाने वाले ब्याज से अधिक ऋण पर ब्याज लेकर|Economics_C3|30
10|बैंक जमा राशि का कितना प्रतिशत भाग नकद (Cash) के रूप में अपने पास रखते हैं?|10%|15%|20%|50%|15%|Economics_C3|30
11|बैंक द्वारा जमा राशि का एक छोटा हिस्सा नकद रखने का मुख्य उद्देश्य क्या है?|केवल लाभ कमाना|जमाकर्ताओं को उनकी मांग पर भुगतान करने के लिए|केवल सरकार को धन देने के लिए|केवल ऋण देने के लिए|जमाकर्ताओं को उनकी मांग पर भुगतान करने के लिए|Economics_C3|30
12|'साख' (Credit) या 'ऋण' (Loan) से क्या तात्पर्य है?|केवल पैसा जमा करना|उधारकर्ता और ऋणदाता के बीच एक समझौता, जहाँ ऋणदाता उधारकर्ता को भविष्य में भुगतान के वादे पर पैसा/सेवाएँ देता है|केवल ब्याज कमाना|केवल संपत्ति खरीदना|उधारकर्ता और ऋणदाता के बीच एक समझौता, जहाँ ऋणदाता उधारकर्ता को भविष्य में भुगतान के वादे पर पैसा/सेवाएँ देता है|Economics_C3|30
13|ऋण के लिए आवश्यक 'समर्थक ऋणाधार' (Collateral) क्या है?|एक ऋण देने वाला व्यक्ति|एक उधारकर्ता|एक ऐसी संपत्ति जिसका उपयोग ऋणदाता को गारंटी के रूप में किया जाता है|केवल ब्याज दर|एक ऐसी संपत्ति जिसका उपयोग ऋणदाता को गारंटी के रूप में किया जाता है|Economics_C3|30
14|निम्न में से कौन-सा 'समर्थक ऋणाधार' का उदाहरण है?|शिक्षा|भूमि, भवन, वाहन, बैंक जमा|केवल वेतन|केवल चेक|भूमि, भवन, वाहन, बैंक जमा|Economics_C3|30
15|ऋण की 'शर्तें' (Terms of Credit) क्या होती हैं?|केवल ब्याज दर|ब्याज दर, ऋणाधार, आवश्यक दस्तावेज और भुगतान का तरीका|केवल ऋणदाता का नाम|केवल ऋण की अवधि|ब्याज दर, ऋणाधार, आवश्यक दस्तावेज और भुगतान का तरीका|Economics_C3|30
16|किस प्रकार का ऋण एक व्यक्ति को 'ऋण जाल' (Debt Trap) में धकेल सकता है?|कम ब्याज वाला ऋण|उच्च ब्याज वाला ऋण जो आय से अधिक हो|केवल कृषि ऋण|केवल सरकारी ऋण|उच्च ब्याज वाला ऋण जो आय से अधिक हो|Economics_C3|30
