id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|भारत की कितनी प्रतिशत जनसंख्या कृषि पर निर्भर है?|40%|50%|60%|70%|60%|Geography_C4|30
2|किस प्रकार की खेती 'कर्तन एवं दहन' (Slash and Burn) कृषि प्रणाली के नाम से जानी जाती है?|गहन जीविका कृषि|आदिम जीविका कृषि|वाणिज्यिक कृषि|बागवानी|आदिम जीविका कृषि|Geography_C4|30
3|असम, मेघालय और मिजोरम में आदिम जीविका कृषि को किस नाम से जाना जाता है?|झूमिंग|मिलपा|रे|लदांग|झूमिंग|Geography_C4|30
4|पंजाब और हरियाणा में चावल की खेती मुख्य रूप से किस प्रकार की कृषि का उदाहरण है?|गहन जीविका कृषि|वाणिज्यिक कृषि|आदिम जीविका कृषि|बागवानी|वाणिज्यिक कृषि|Geography_C4|30
5|भारत में 'रबी' की फसलें किस महीने में बोई जाती हैं?|जून-जुलाई|सितंबर-अक्टूबर|अक्टूबर-दिसंबर|फरवरी-मार्च|अक्टूबर-दिसंबर|Geography_C4|30
6|निम्न में से कौन-सी रबी की फसल है?|चावल|गेहूँ|मक्का|ज्वार|गेहूँ|Geography_C4|30
7|'खरीफ' की फसलें किस महीने में काटी जाती हैं?|सितंबर-अक्टूबर|जनवरी-फरवरी|मार्च-अप्रैल|मई-जून|सितंबर-अक्टूबर|Geography_C4|30
8|निम्न में से कौन-सी खरीफ की फसल है?|गेहूँ|चना|चावल (धान)|सरसों|चावल (धान)|Geography_C4|30
9|रबी और खरीफ की फसल ऋतुओं के बीच बोई जाने वाली फसल कौन-सी है?|बागवानी फसल|दलहन|जायद|तिलहन|जायद|Geography_C4|30
10|निम्न में से कौन-सी जायद की फसल है?|गेहूँ|धान|तरबूज|जौ|तरबूज|Geography_C4|30
11|चावल (धान) की खेती के लिए कितना वार्षिक वर्षा आवश्यक है?|50 सेमी से कम|50-100 सेमी|100 सेमी से अधिक|200 सेमी से अधिक|100 सेमी से अधिक|Geography_C4|30
12|भारत में गेहूँ (Wheat) की खेती के लिए सबसे महत्वपूर्ण भौगोलिक कारक क्या है?|अधिक तापमान और अधिक वर्षा|ठंडा मौसम और पकने के समय धूप|उच्च आर्द्रता और सूखा|केवल पाला रहित मौसम|ठंडा मौसम और पकने के समय धूप|Geography_C4|30
13|भारत का दूसरा सबसे महत्वपूर्ण अनाज कौन-सा है?|बाजरा|चावल|गेहूँ|ज्वार|गेहूँ|Geography_C4|30
14|ज्वार, बाजरा और रागी किस प्रकार की फसलें हैं?|बागवानी फसलें|मोटा अनाज (Millets)|दलहन|तिलहन|मोटा अनाज (Millets)|Geography_C4|30
15|भारत का कौन-सा राज्य 'बाजरा' का सबसे बड़ा उत्पादक है?|उत्तर प्रदेश|राजस्थान|महाराष्ट्र|कर्नाटक|राजस्थान|Geography_C4|30
16|भारत में दालों का सबसे बड़ा उत्पादक और उपभोक्ता कौन-सा देश है?|संयुक्त राज्य अमेरिका|भारत|चीन|ब्राजील|भारत|Geography_C4|30
17|दालों को उगाने का प्रमुख लाभ क्या है?|मिट्टी में नाइट्रोजन स्थिरीकरण (Nitrogen Fixation)|उन्हें कम सिंचाई की आवश्यकता होती है|वे जल्दी पक जाती हैं|उनकी बाजार में उच्च मांग है|मिट्टी में नाइट्रोजन स्थिरीकरण (Nitrogen Fixation)|Geography_C4|30
18|निम्न में से कौन-सी तिलहन की फसल है?|चना|मूंगफली|ज्वार|रागी|मूंगफली|Geography_C4|30
19|भारत में मूंगफली (Groundnut) का सबसे बड़ा उत्पादक राज्य कौन-सा है?|तमिलनाडु|गुजरात|आंध्र प्रदेश|महाराष्ट्र|गुजरात|Geography_C4|30
20|चाय (Tea) किस प्रकार की कृषि का उदाहरण है?|आदिम जीविका कृषि|वाणिज्यिक कृषि|बागवानी|रोपण कृषि (Plantation Agriculture)|रोपण कृषि (Plantation Agriculture)|Geography_C4|30
21|चाय की खेती के लिए कौन-सी मृदा सबसे उपयुक्त है?|रेतीली मृदा|काली मृदा|लेटराइट मृदा|गहरी, सुनिस्कासित (Deep, Well Drained) मृदा|गहरी, सुनिस्कासित (Deep, Well Drained) मृदा|Geography_C4|30
22|भारत का कौन-सा राज्य चाय का सबसे बड़ा उत्पादक है?|केरल|असम|पश्चिम बंगाल|तमिलनाडु|असम|Geography_C4|30
23|कॉफी (Coffee) की खेती के लिए कौन-सी भौगोलिक स्थिति सबसे अच्छी है?|समतल भूमि और उच्च तापमान|पहाड़ी ढलान और 15°C से 28°C के बीच तापमान|शुष्क जलवायु और कम वर्षा|कठोर पाला और उच्च आर्द्रता|पहाड़ी ढलान और 15°C से 28°C के बीच तापमान|Geography_C4|30
24|भारत में प्रमुख रूप से उगाई जाने वाली कॉफी की किस्म कौन-सी है?|रोबस्टा|अरेबिका|लिबेरिका|अरेबिका और रोबस्टा दोनों|अरेबिका|Geography_C4|30
25|गन्ना (Sugarcane) की खेती के लिए कौन-सा तापमान उपयुक्त है?|15°C से 20°C|21°C से 27°C|30°C से अधिक|10°C से कम|21°C से 27°C|Geography_C4|30
26|भारत में गन्ना का सबसे बड़ा उत्पादक राज्य कौन-सा है?|महाराष्ट्र|उत्तर प्रदेश|बिहार|कर्नाटक|उत्तर प्रदेश|Geography_C4|30
27|कपास (Cotton) की खेती के लिए कौन-सी मृदा सबसे अच्छी है?|जलोढ़ मृदा|काली मृदा (Black Soil)|लेटराइट मृदा|लाल और पीली मृदा|काली मृदा (Black Soil)|Geography_C4|30
28|भारत में कपास का प्रमुख उत्पादक राज्य कौन-सा है?|पंजाब|गुजरात|बिहार|असम|गुजरात|Geography_C4|30
29|जूट (Jute) को किस नाम से जाना जाता है?|काला सोना|सफेद सोना|सुनहरा रेशा (Golden Fibre)|सिल्वर फाइबर|सुनहरा रेशा (Golden Fibre)|Geography_C4|30
30|जूट का मुख्य उपयोग क्या है?|शराब उद्योग|खाद्य प्रसंस्करण|बोरे, चटाई, रस्सी और कालीन बनाना|कपड़े बनाना|बोरे, चटाई, रस्सी और कालीन बनाना|Geography_C4|30
31|जूट का सबसे बड़ा उत्पादक राज्य कौन-सा है?|बिहार|असम|पश्चिम बंगाल|ओडिशा|पश्चिम बंगाल|Geography_C4|30
32|'श्वेत क्रांति' (White Revolution) किससे संबंधित है?|मत्स्य उत्पादन|तिलहन उत्पादन|दुग्ध उत्पादन (Milk Production)|खाद्यान्न उत्पादन|दुग्ध उत्पादन (Milk Production)|Geography_C4|30
33|भारत में 'हरित क्रांति' (Green Revolution) का संबंध किससे है?|जूट उत्पादन|मसाला उत्पादन|उच्च उपज देने वाली किस्मों (HYV) का उपयोग करके खाद्यान्न उत्पादन|मवेशी पालन|उच्च उपज देने वाली किस्मों (HYV) का उपयोग करके खाद्यान्न उत्पादन|Geography_C4|30
34|'ऑपरेशन फ्लड' (Operation Flood) किससे संबंधित है?|बाढ़ नियंत्रण|दुग्ध उत्पादन में वृद्धि|जल संरक्षण|कृषि ऋण|दुग्ध उत्पादन में वृद्धि|Geography_C4|30
35|भारत सरकार द्वारा किसानों के हित में कौन-सा कार्यक्रम शुरू किया गया?|किसान क्रेडिट कार्ड (KCC)|व्यक्तिगत दुर्घटना बीमा योजना (PAIS)|मौसम समाचार/कृषि कार्यक्रम का प्रसारण|उपरोक्त सभी|उपरोक्त सभी|Geography_C4|30
36|भारत में कृषि के लिए सबसे महत्वपूर्ण निवेश क्या है?|रासायनिक उर्वरक|सिंचाई|बीज|श्रमिक|सिंचाई|Geography_C4|30
37|'भूदान-ग्रामदान' आंदोलन किसने शुरू किया था?|महात्मा गांधी|विनोबा भावे|जयप्रकाश नारायण|लाल बहादुर शास्त्री|विनोबा भावे|Geography_C4|30
38|'भूदान-ग्रामदान' आंदोलन को किस क्रांति के नाम से भी जाना जाता है?|श्वेत क्रांति|रक्तहीन क्रांति (Bloodless Revolution)|पीली क्रांति|नीली क्रांति|रक्तहीन क्रांति (Bloodless Revolution)|Geography_C4|30
39|कृषि को भारतीय अर्थव्यवस्था की 'रीढ़' (Backbone) क्यों कहा जाता है?|अधिकांश लोगों को रोजगार प्रदान करती है|राष्ट्रीय आय में सबसे बड़ा योगदान|विदेशी मुद्रा अर्जित करती है|केवल खाद्य सुरक्षा सुनिश्चित करती है|अधिकांश लोगों को रोजगार प्रदान करती है|Geography_C4|30
40|भारत में उगाई जाने वाली मुख्य रेशेदार फसलें (Fibre Crops) कौन-सी हैं?|गेहूँ, चावल, मक्का|कपास, जूट, प्राकृतिक रेशम|चना, मटर, अरहर|मूंगफली, सरसों, सूरजमुखी|कपास, जूट, प्राकृतिक रेशम|Geography_C4|30
41|'बागाती कृषि' (Horticulture) किससे संबंधित है?|केवल धान की खेती|फल और सब्जियाँ|मसालों की खेती|केवल फूलों की खेती|फल और सब्जियाँ|Geography_C4|30
42|भारत विश्व में फलों और सब्जियों के उत्पादन में किस स्थान पर है?|पहला|दूसरा|तीसरा|चौथा|दूसरा|Geography_C4|30
43|झारखंड में आदिम जीविका कृषि को किस नाम से जाना जाता है?|पामलू|कुरुवा|दीपा|मिलपा|कुरुवा|Geography_C4|30
44|फसलों को सहायता देने के लिए सरकार द्वारा निर्धारित न्यूनतम मूल्य क्या कहलाता है?|बाजार मूल्य|न्यूनतम समर्थन मूल्य (MSP)|खुदरा मूल्य|अधिकतम खुदरा मूल्य|न्यूनतम समर्थन मूल्य (MSP)|Geography_C4|30
