id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|फ्रांसीसी क्रांति कब हुई थी?|1779|1789|1799|1769|1789|History_C1|30
2|नेपोलियन कोड (नागरिक संहिता) किस वर्ष लागू किया गया था?|1801|1804|1807|1815|1804|History_C1|30
3|वीयेना कांग्रेस (Vienna Congress) की मेजबानी किसने की थी?|नेपोलियन|बिस्मार्क|मेटरनिख|लूई अठारहवाँ|मेटरनिख|History_C1|30
4|वीयेना कांग्रेस किस वर्ष आयोजित की गई थी?|1810|1815|1821|1830|1815|History_C1|30
5|मेटरनिख कहाँ का चांसलर था?|जर्मनी|ऑस्ट्रिया|फ्रांस|इटली|ऑस्ट्रिया|History_C1|30
6|यूरोप में 'राष्ट्रवाद का जनक' किसे माना जाता है?|विक्टर इमैनुअल द्वितीय|नेपोलियन|गैरीबाल्डी|बिस्मार्क|नेपोलियन|History_C1|30
7|इटली के एकीकरण का मसीहा किसे कहा जाता है?|मेटरनिख|मेजिनी (Mazzini)|काउंट कावूर|गैरीबाल्डी|मेजिनी (Mazzini)|History_C1|30
8|जर्मनी के एकीकरण का मुख्य वास्तुकार (Architect) कौन था?|विलियम प्रथम|ओटो वॉन बिस्मार्क|लूई फिलिप|मेटरनिख|ओटो वॉन बिस्मार्क|History_C1|30
9|मेजिनी ने किस संस्था की स्थापना की थी?|यंग यूरोप|यंग इटली|कार्बोनारी|दोनों a और b|यंग इटली|History_C1|30
10|जर्मनी के एकीकरण के लिए 'लौह एवं रक्त' (Iron and Blood) की नीति किसने अपनाई?|काउंट कावूर|मेजिनी|बिस्मार्क|विलियम प्रथम|बिस्मार्क|History_C1|30
11|यूनान को एक स्वतंत्र राष्ट्र के रूप में मान्यता किस संधि द्वारा मिली?|वीयेना की संधि|कुस्तुनतुनिया की संधि|फ्रैंकफर्ट की संधि|पेरिस की संधि|कुस्तुनतुनिया की संधि|History_C1|30
12|यूनान स्वतंत्रता संग्राम कब हुआ था?|1821|1832|1848|1871|1821|History_C1|30
13|जोलवेराइन (Zollverein) नामक एक शुल्क संघ की स्थापना किस देश में हुई?|फ्रांस|जर्मनी|इटली|ऑस्ट्रिया|जर्मनी|History_C1|30
14|फ्रैंकफर्ट संसद का आयोजन किस वर्ष हुआ था?|1848|1830|1871|1815|1848|History_C1|30
15|काउंट कावूर को विक्टर इमैनुअल II ने किस पद पर नियुक्त किया?|सेनापति|गृह मंत्री|प्रधानमंत्री|राजदूत|प्रधानमंत्री|History_C1|30
16|गैरीबाल्डी पेशे से क्या था?|किसान|नाविक|शिक्षक|सिपाही|नाविक|History_C1|30
17|इटली के एकीकरण में महत्वपूर्ण योगदान देने वाले गैरीबाल्डी ने किस सेना का गठन किया था?|हरी कमीज़ सेना|लाल सेना|लाल कमीज़ सेना|काली कमीज़ सेना|लाल कमीज़ सेना|History_C1|30
18|जर्मनी के एकीकरण की प्रक्रिया किस युद्ध के बाद पूरी हुई?|क्रिमियन युद्ध|ऑस्ट्रिया-प्रशा युद्ध|डेनमार्क युद्ध|फ्रैंको-प्रशा युद्ध|फ्रैंको-प्रशा युद्ध|History_C1|30
19|राष्ट्रवाद की पहली स्पष्ट अभिव्यक्ति किस क्रांति के साथ हुई?|अक्टूबर क्रांति|रूसी क्रांति|फ्रांसीसी क्रांति|औद्योगिक क्रांति|फ्रांसीसी क्रांति|History_C1|30
20|वर्ष 1871 में जर्मनी का सम्राट किसे घोषित किया गया?|फ्रेडरिक विलियम IV|विलियम I|बिस्मार्क|नेपोलियन III|विलियम I|History_C1|30
21|किस संधि ने जर्मनी के एकीकरण को अंतिम रूप दिया?|फ्रैंकफर्ट की संधि|वियना की संधि|गेस्टीन की संधि|प्राग की संधि|फ्रैंकफर्ट की संधि|History_C1|30
22|'रोमांटिसिज़्म' क्या था?|एक राजनीतिक आंदोलन|एक आर्थिक नीति|एक सांस्कृतिक आंदोलन|एक धार्मिक आंदोलन|एक सांस्कृतिक आंदोलन|History_C1|30
