id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'जन-संघर्ष' (Popular Struggle) का मुख्य उद्देश्य क्या होता है?|केवल हिंसा फैलाना|सार्वजनिक नीतियों और निर्णयों को प्रभावित करना|केवल धन कमाना|चुनाव जीतना|सार्वजनिक नीतियों और निर्णयों को प्रभावित करना|PoliticalScience_C5|30
2|नेपाल में 'लोकतंत्र के लिए दूसरा आंदोलन' (Second Movement for Democracy) कब शुरू हुआ?|1990|2006|2008|2015|2006|PoliticalScience_C5|30
3|नेपाल में 2006 में आंदोलन का मुख्य उद्देश्य क्या था?|राजतंत्र को मजबूत करना|राजा से सत्ता लेकर हाथों में लेना|नेपाल को धर्मनिरपेक्ष राज्य बनाना|विदेश नीति बदलना|राजा से सत्ता लेकर हाथों में लेना|PoliticalScience_C5|30
4|नेपाल में किस संस्था ने लोकतंत्र के लिए आंदोलन का नेतृत्व किया?|सात दलों का गठबंधन (SPA)|सैन्य शासक|राजा की सेना|केवल छात्र संगठन|सात दलों का गठबंधन (SPA)|PoliticalScience_C5|30
5|नेपाल के राजा ज्ञानेंद्र ने कब संसद को भंग कर दिया था?|फरवरी 2005|अप्रैल 2006|जनवरी 2007|नवंबर 2008|फरवरी 2005|PoliticalScience_C5|30
6|नेपाल में लोकतंत्र बहाल होने के बाद, देश का प्रमुख कौन बना?|राजा|प्रधानमंत्री|सेनाध्यक्ष|राष्ट्रपति|प्रधानमंत्री|PoliticalScience_C5|30
7|नेपाल में लोकतंत्र के आंदोलन का परिणाम क्या रहा?|राजा को पूर्ण शक्ति मिली|संसद बहाल हुई और राजा की शक्तियाँ सीमित हुईं|सैन्य शासन लागू हुआ|नेपाल में कोई बदलाव नहीं आया|संसद बहाल हुई और राजा की शक्तियाँ सीमित हुईं|PoliticalScience_C5|30
8|बोलीविया में जल युद्ध (Water War) किसके खिलाफ शुरू हुआ था?|सरकार द्वारा जल का निजीकरण|जल प्रदूषण|पेयजल की कमी|केवल महंगाई|सरकार द्वारा जल का निजीकरण|PoliticalScience_C5|30
9|बोलीविया में जल युद्ध कहाँ हुआ था?|ला पाज|सैंट क्रूज़|कोचाबम्बा (Cochabamba)|सैंटियागो|कोचाबम्बा (Cochabamba)|PoliticalScience_C5|30
10|बोलीविया में जल युद्ध का नेतृत्व किस संगठन ने किया?|माओवादी|FEDACO (फाडेको)|राजनीतिक दल|केवल किसान संगठन|FEDACO (फाडेको)|PoliticalScience_C5|30
11|बोलीविया में जल युद्ध का परिणाम क्या रहा?|पानी की कीमतें दोगुनी हुईं|पानी का निजीकरण रद्द हुआ और सरकार ने अनुबंध वापस ले लिया|सेना का शासन लागू हुआ|राजा की बहाली हुई|पानी का निजीकरण रद्द हुआ और सरकार ने अनुबंध वापस ले लिया|PoliticalScience_C5|30
12|'जन-आंदोलन' (Movement) का क्या अर्थ है?|एक अल्पकालिक संघर्ष|एक निश्चित लक्ष्य को प्राप्त करने के लिए लोगों का संगठित और निरंतर प्रयास|केवल हिंसा और तोड़फोड़|सरकार को उखाड़ फेंकना|एक निश्चित लक्ष्य को प्राप्त करने के लिए लोगों का संगठित और निरंतर प्रयास|PoliticalScience_C5|30
13|आंदोलन में 'राजनीतिक दल' (Political Parties) कैसे भाग लेते हैं?|आंदोलन का नेतृत्व करके या उन्हें समर्थन देकर|केवल चुनाव लड़कर|केवल सेना में शामिल होकर|आंदोलन का विरोध करके|आंदोलन का नेतृत्व करके या उन्हें समर्थन देकर|PoliticalScience_C5|30
14|'दबाव समूह' (Pressure Groups) क्या होते हैं?|संगठन जो सीधे चुनाव लड़ते हैं|संगठन जो सरकार की नीतियों को प्रभावित करने के लिए दबाव डालते हैं|केवल छात्र संगठन|केवल श्रमिक संघ|संगठन जो सरकार की नीतियों को प्रभावित करने के लिए दबाव डालते हैं|PoliticalScience_C5|30
15|दबाव समूहों का मुख्य उद्देश्य क्या होता है?|सीधे सत्ता पर कब्जा करना|अपने सदस्यों के हितों की रक्षा करना और उन्हें बढ़ावा देना|केवल सरकार की आलोचना करना|केवल सामाजिक कार्य करना|अपने सदस्यों के हितों की रक्षा करना और उन्हें बढ़ावा देना|PoliticalScience_C5|30
16|दबाव समूह और राजनीतिक दल में मुख्य अंतर क्या है?|राजनीतिक दल चुनाव लड़ते हैं, दबाव समूह नहीं|दबाव समूह अधिक शक्तिशाली होते हैं|राजनीतिक दल केवल आर्थिक हितों का प्रतिनिधित्व करते हैं|दबाव समूह केवल सेना से संबंधित होते हैं|राजनीतिक दल चुनाव लड़ते हैं, दबाव समूह नहीं|PoliticalScience_C5|30
17|निम्न में से कौन-सा 'पेशेवर दबाव समूह' (Professional Pressure Group) का उदाहरण है?|किसान संगठन|व्यापारी संघ|शिक्षक संघ|पर्यावरणवादी संगठन|शिक्षक संघ|PoliticalScience_C5|30
18|निम्न में से कौन-सा 'जनहित समूह' (Public Interest Group) का उदाहरण है?|व्यापारी संघ|FICCI (फिक्की)|पर्यावरणवादी संगठन (जैसे नर्मदा बचाओ आंदोलन)|रेलवे यूनियन|पर्यावरणवादी संगठन (जैसे नर्मदा बचाओ आंदोलन)|PoliticalScience_C5|30
19|'जनहित समूह' (Public Interest Groups) किसका प्रतिनिधित्व करते हैं?|केवल अपने सदस्यों का|समाज के सामान्य हित और व्यापक हितों का|केवल अमीर लोगों का|केवल राजनीतिक दलों का|समाज के सामान्य हित और व्यापक हितों का|PoliticalScience_C5|30
20|आंदोलन का नेतृत्व कौन कर सकता है?|राजनीतिक दल|दबाव समूह|स्वतंत्र संगठन (जैसे छात्र और कार्यकर्ता)|उपरोक्त सभी|उपरोक्त सभी|PoliticalScience_C5|30
21|नेपाल में 2006 के आंदोलन में मुख्य मांग क्या थी?|राजा को फांसी देना|पूर्ण लोकतंत्र और एक नई संविधान सभा|सैन्य शासक की नियुक्ति|भारत के साथ विलय|पूर्ण लोकतंत्र और एक नई संविधान सभा|PoliticalScience_C5|30
22|बोलीविया में सरकार ने जल का निजीकरण किस संगठन के दबाव में किया था?|विश्व बैंक (World Bank)|आईएमएफ (IMF)|संयुक्त राष्ट्र|अमेरिका की सरकार|विश्व बैंक (World Bank)|PoliticalScience_C5|30
23|भारत में 'नर्मदा बचाओ आंदोलन' किससे संबंधित है?|बांधों का निर्माण और पर्यावरण पर प्रभाव|केवल जल प्रदूषण|बाल श्रम|आतंकवाद|बांधों का निर्माण और पर्यावरण पर प्रभाव|PoliticalScience_C5|30
24|'नर्मदा बचाओ आंदोलन' का नेतृत्व किसने किया?|मेधा पाटकर|महात्मा गांधी|विनोबा भावे|सुंदरलाल बहुगुणा|मेधा पाटकर|PoliticalScience_C5|30
25|आंदोलन किसी देश में लोकतंत्र को कैसे मजबूत करते हैं?|लोगों की भागीदारी सुनिश्चित करके और सरकार को जवाबदेह बनाकर|केवल हिंसा फैलाकर|आर्थिक विकास को धीमा करके|केवल विदेश नीति बदलकर|लोगों की भागीदारी सुनिश्चित करके और सरकार को जवाबदेह बनाकर|PoliticalScience_C5|30
26|दबाव समूहों का एक महत्वपूर्ण कार्य क्या है?|सरकार को नीतियाँ बदलने के लिए मजबूर करना|केवल चुनाव लड़ना|कानून बनाना|न्यायपालिका को नियंत्रित करना|सरकार को नीतियाँ बदलने के लिए मजबूर करना|PoliticalScience_C5|30
27|किस वर्ग के आंदोलन को 'वर्गीकृत आंदोलन' (Sectional Interest Movement) कहा जाता है?|गरीबों का आंदोलन|केवल एक विशेष वर्ग या हित समूह का प्रतिनिधित्व|पर्यावरण का आंदोलन|लोकतंत्र का आंदोलन|केवल एक विशेष वर्ग या हित समूह का प्रतिनिधित्व|PoliticalScience_C5|30
28|'लोकतांत्रिक संघर्ष' का मुख्य तरीका क्या है?|सशस्त्र विद्रोह|हिंसक प्रदर्शन|प्रदर्शन, हड़ताल और बातचीत (शांतिपूर्ण तरीके)|सैन्य तख्तापलट|प्रदर्शन, हड़ताल और बातचीत (शांतिपूर्ण तरीके)|PoliticalScience_C5|30
29|दबाव समूह सरकार को कैसे प्रभावित करते हैं?|अधिकारियों से सीधे संपर्क करके|सूचना प्रदान करके|लॉबिंग (Lobbying) करके|उपरोक्त सभी|उपरोक्त सभी|PoliticalScience_C5|30
